NT:100/PERM:1000 0m2.490s
NT:100/PERM:3000 0m2.805s
NT:100/PERM:5000 0m5.944s
NT:100/PERM:7000 0m7.728s
NT:100/PERM:9000 0m9.551s
NT:500/PERM:1000 0m5.678s
NT:500/PERM:3000 0m8.557s
NT:500/PERM:5000 0m13.242s
NT:500/PERM:7000 0m30.539s
NT:500/PERM:9000 0m38.826s
NT:1000/PERM:1000 0m11.760s
NT:1000/PERM:3000 0m32.080s
NT:1000/PERM:5000 0m52.388s
NT:1000/PERM:7000 1m12.712s
NT:1000/PERM:9000 1m33.095s
NT:3000/PERM:1000 0m49.792s
NT:3000/PERM:3000 2m25.408s
NT:3000/PERM:5000 2m54.657s
NT:3000/PERM:7000 5m36.996s
NT:3000/PERM:9000 7m12.794s
NT:5000/PERM:1000 1m24.328s
NT:5000/PERM:3000 4m9.063s
NT:5000/PERM:5000 6m53.847s
NT:5000/PERM:7000 9m38.643s
NT:5000/PERM:9000 12m23.443s
