NT:100/PERM:1000 0m33.658s
NT:100/PERM:3000 1m42.439s
NT:100/PERM:5000 2m43.918s
NT:100/PERM:7000 4m7.446s
NT:100/PERM:9000 5m33.241s
NT:500/PERM:1000 2m38.354s
NT:500/PERM:3000 6m52.056s
NT:500/PERM:5000 11m36.611s
NT:500/PERM:7000 17m0.126s
NT:500/PERM:9000 21m6.508s
NT:1000/PERM:1000 4m43.703s
NT:1000/PERM:3000 13m46.289s
NT:1000/PERM:5000 23m47.021s
NT:1000/PERM:7000 32m44.999s
NT:1000/PERM:9000 40m47.496s
NT:3000/PERM:1000 13m19.749s
NT:3000/PERM:3000 44m24.481s
NT:3000/PERM:5000 72m56.290s
NT:3000/PERM:7000 106m13.725s
NT:3000/PERM:9000 141m40.384s
NT:5000/PERM:1000 26m26.180s
NT:5000/PERM:3000 73m52.743s
NT:5000/PERM:5000 125m38.871s
NT:5000/PERM:7000 178m36.292s
NT:5000/PERM:9000 225m4.266s
