NT:100/PERM:1000 0m20.572s
NT:100/PERM:3000 1m4.801s
NT:100/PERM:5000 2m27.555s
NT:100/PERM:7000 3m37.292s
NT:100/PERM:9000 4m46.246s
NT:500/PERM:1000 1m46.370s
NT:500/PERM:3000 7m34.557s
NT:500/PERM:5000 9m46.909s
NT:500/PERM:7000 14m12.378s
NT:500/PERM:9000 16m45.269s
NT:1000/PERM:1000 2m46.666s
NT:1000/PERM:3000 11m3.040s
NT:1000/PERM:5000 17m9.211s
NT:1000/PERM:7000 24m35.219s
NT:1000/PERM:9000 37m15.871s
NT:3000/PERM:1000 15m30.882s
NT:3000/PERM:3000 38m55.247s
NT:3000/PERM:5000 51m52.818s
NT:3000/PERM:7000 68m59.780s
NT:3000/PERM:9000 117m58.339s
NT:5000/PERM:1000 20m25.798s
NT:5000/PERM:3000 51m32.002s
NT:5000/PERM:5000 116m6.991s
NT:5000/PERM:7000 118m3.217s
NT:5000/PERM:9000 148m59.782s
