NT:100/PERM:1000/N_THREADS:4 0m18.987s
NT:100/PERM:3000/N_THREADS:4 0m53.455s
NT:100/PERM:5000/N_THREADS:4 1m33.528s
NT:100/PERM:7000/N_THREADS:4 2m9.366s
NT:100/PERM:9000/N_THREADS:4 2m46.952s
NT:500/PERM:1000/N_THREADS:4 0m56.156s
NT:500/PERM:3000/N_THREADS:4 2m50.714s
NT:500/PERM:5000/N_THREADS:4 4m40.093s
NT:500/PERM:7000/N_THREADS:4 6m34.758s
NT:500/PERM:9000/N_THREADS:4 8m25.639s
NT:1000/PERM:1000/N_THREADS:4 1m58.127s
NT:1000/PERM:3000/N_THREADS:4 5m57.143s
NT:1000/PERM:5000/N_THREADS:4 10m14.532s
NT:1000/PERM:7000/N_THREADS:4 13m22.832s
NT:1000/PERM:9000/N_THREADS:4 16m46.643s
NT:3000/PERM:1000/N_THREADS:4 7m1.971s
NT:3000/PERM:3000/N_THREADS:4 21m22.889s
NT:3000/PERM:5000/N_THREADS:4 31m26.850s
NT:3000/PERM:7000/N_THREADS:4 45m9.882s
NT:3000/PERM:9000/N_THREADS:4 63m56.800s
NT:5000/PERM:1000/N_THREADS:4 12m11.887s
NT:5000/PERM:3000/N_THREADS:4 36m36.885s
NT:5000/PERM:5000/N_THREADS:4 60m12.612s
NT:5000/PERM:7000/N_THREADS:4 85m5.622s
NT:5000/PERM:9000/N_THREADS:4 109m41.298s
