NT:100/PERM:1000/N_THREADS:1 0m3.937s
NT:100/PERM:3000/N_THREADS:1 0m11.396s
NT:100/PERM:5000/N_THREADS:1 0m18.993s
NT:100/PERM:7000/N_THREADS:1 0m26.547s
NT:100/PERM:9000/N_THREADS:1 0m34.141s
NT:500/PERM:1000/N_THREADS:1 0m16.073s
NT:500/PERM:3000/N_THREADS:1 0m47.547s
NT:500/PERM:5000/N_THREADS:1 1m18.284s
NT:500/PERM:7000/N_THREADS:1 1m49.503s
NT:500/PERM:9000/N_THREADS:1 2m20.825s
NT:1000/PERM:1000/N_THREADS:1 0m32.522s
NT:1000/PERM:3000/N_THREADS:1 1m36.652s
NT:1000/PERM:5000/N_THREADS:1 2m42.761s
NT:1000/PERM:7000/N_THREADS:1 3m45.621s
NT:1000/PERM:9000/N_THREADS:1 4m49.818s
NT:3000/PERM:1000/N_THREADS:1 1m50.073s
NT:3000/PERM:3000/N_THREADS:1 5m26.667s
NT:3000/PERM:5000/N_THREADS:1 9m4.103s
NT:3000/PERM:7000/N_THREADS:1 12m43.373s
NT:3000/PERM:9000/N_THREADS:1 16m19.664s
NT:5000/PERM:1000/N_THREADS:1 3m5.828s
NT:5000/PERM:3000/N_THREADS:1 9m25.693s
NT:5000/PERM:5000/N_THREADS:1 15m31.129s
NT:5000/PERM:7000/N_THREADS:1 21m41.744s
NT:5000/PERM:9000/N_THREADS:1 27m51.998s
